,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_SVM__C,param_SVM__gamma,param_SVM__kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,mean_train_score,std_train_score
0,102.50580903462001,0.4472555668500635,8.879886831556048,0.20171726506831475,1,0.1,linear,"{'SVM__C': 1, 'SVM__gamma': 0.1, 'SVM__kernel': 'linear'}",0.24262734584450402,0.23742454728370221,0.2530201342281879,0.25789120214909333,0.2446236559139785,0.2654569892473118,0.24344317417619368,0.24920863309352517,0.009183046330801501,2,0.319489533191537,0.3237071860308932,0.32188024622271966,0.32072515666965085,0.32516504419827685,0.3163253888329417,0.3171850525844708,0.3206396582472129,0.0030072584031356152
1,109.14963269233704,0.42679701212193255,8.696448394230433,0.02133891393816169,1,0.1,rbf,"{'SVM__C': 1, 'SVM__gamma': 0.1, 'SVM__kernel': 'rbf'}",0.23458445040214476,0.24815560026827632,0.23087248322147652,0.24445936870382806,0.2399193548387097,0.24059139784946237,0.23201075991930062,0.23865707434052758,0.005984115639369384,18,0.2659800738833539,0.2637116633087083,0.2626748740906547,0.26096687555953446,0.2641826116146358,0.26228040729551305,0.26560751846050573,0.2636291463161294,0.0016720973854995659
2,100.08986139297485,0.2764753816601249,8.53979413849967,0.034952201613166596,1,0.01,linear,"{'SVM__C': 1, 'SVM__gamma': 0.01, 'SVM__kernel': 'linear'}",0.24262734584450402,0.23742454728370221,0.2530201342281879,0.25789120214909333,0.2446236559139785,0.2654569892473118,0.24344317417619368,0.24920863309352517,0.009183046330801501,2,0.319489533191537,0.3237071860308932,0.32188024622271966,0.32072515666965085,0.32516504419827685,0.3163253888329417,0.3171850525844708,0.3206396582472129,0.0030072584031356152
3,108.87293607848031,0.15893881904260557,9.2705717086792,0.1310813690023784,1,0.01,rbf,"{'SVM__C': 1, 'SVM__gamma': 0.01, 'SVM__kernel': 'rbf'}",0.19772117962466487,0.19785378940308518,0.19798657718120805,0.19811954331766285,0.1975806451612903,0.1975806451612903,0.1977135171486214,0.1977937649880096,0.0001887486524300852,28,0.19780588827941342,0.19778374748153124,0.19776161163961947,0.19773948075201433,0.1978292491887658,0.1978292491887658,0.19780711568583575,0.19779376317370653,3.1451638242154745e-05
4,98.97185342652458,0.2609236273527075,8.430391584123884,0.027118530021639296,1,0.001,linear,"{'SVM__C': 1, 'SVM__gamma': 0.001, 'SVM__kernel': 'linear'}",0.24262734584450402,0.23742454728370221,0.2530201342281879,0.25789120214909333,0.2446236559139785,0.2654569892473118,0.24344317417619368,0.24920863309352517,0.009183046330801501,2,0.319489533191537,0.3237071860308932,0.32188024622271966,0.32072515666965085,0.32516504419827685,0.3163253888329417,0.3171850525844708,0.3206396582472129,0.0030072584031356152
5,109.5495718547276,0.15074149985934301,8.486507075173515,0.013797824442531125,1,0.001,rbf,"{'SVM__C': 1, 'SVM__gamma': 0.001, 'SVM__kernel': 'rbf'}",0.19772117962466487,0.19785378940308518,0.19798657718120805,0.19811954331766285,0.1975806451612903,0.1975806451612903,0.1977135171486214,0.1977937649880096,0.0001887486524300852,28,0.19780588827941342,0.19778374748153124,0.19776161163961947,0.19773948075201433,0.1978292491887658,0.1978292491887658,0.19780711568583575,0.19779376317370653,3.1451638242154745e-05
6,97.84395452908107,0.36453363166233377,8.07456476347787,0.07577025036494513,10,0.1,linear,"{'SVM__C': 10, 'SVM__gamma': 0.1, 'SVM__kernel': 'linear'}",0.25603217158176944,0.2193158953722334,0.2348993288590604,0.24311618535930155,0.22916666666666666,0.23790322580645162,0.2562205783456624,0.23952038369304557,0.012560182484562156,10,0.3512817642449345,0.3509066487575554,0.3451594851706771,0.348142345568487,0.35403379210025737,0.35090074969229046,0.34884761691653615,0.3498960574929626,0.0026099146817722663
7,98.48537336077008,0.6018185809730606,8.870128733771187,0.1596875033575541,10,0.1,rbf,"{'SVM__C': 10, 'SVM__gamma': 0.1, 'SVM__kernel': 'rbf'}",0.24396782841823056,0.24077800134138164,0.25906040268456376,0.2511752854264607,0.23790322580645162,0.26276881720430106,0.24344317417619368,0.24844124700239809,0.008784185645512145,5,0.34893093025859173,0.35538392657264384,0.35086737548964747,0.35149955237242614,0.3596285106859125,0.34855096788631534,0.3523159543522041,0.35245388823110585,0.003608544572275635
8,101.27131720951625,0.37354525313384995,8.308006388800484,0.12216226963163329,10,0.01,linear,"{'SVM__C': 10, 'SVM__gamma': 0.01, 'SVM__kernel': 'linear'}",0.25603217158176944,0.2193158953722334,0.2348993288590604,0.24311618535930155,0.22916666666666666,0.23790322580645162,0.2562205783456624,0.23952038369304557,0.012560182484562156,10,0.3512817642449345,0.3509066487575554,0.3451594851706771,0.348142345568487,0.35403379210025737,0.35090074969229046,0.34884761691653615,0.3498960574929626,0.0026099146817722663
9,109.50204992294312,0.397003531527955,9.038944687162127,0.20383820125318902,10,0.01,rbf,"{'SVM__C': 10, 'SVM__gamma': 0.01, 'SVM__kernel': 'rbf'}",0.2339142091152815,0.24949698189134809,0.23154362416107382,0.24378777703156482,0.24327956989247312,0.2385752688172043,0.23133826496301277,0.23884892086330936,0.006455340559735864,16,0.2649725736034927,0.262480411909559,0.2621152770005596,0.2610787824529991,0.266644287792324,0.26194472418037373,0.2658312821660327,0.2635810484436201,0.0020242144250194683
